article_id,date,headline,article_text,source,url,author,category,entities,collection_method,_synthetic,_true_label,combined_text,word_count,text_clean,text_minimal,sentence_count,lexical_diversity,fear_score,greed_score,uncertainty_score,optimism_score,dominant_emotion,silver_label,fnei,fnei_category
SYN_432F0E5B16F5,2018-01-01,Indian markets crash amid global recession fears and rising inflation,This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. ,Synthetic_Framework,,,finance,,SYNTHETIC,True,fear,Indian markets crash amid global recession fears and rising inflation. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets.,50,indian markets crash amid global recession fears and rising inflation this article discusses fear sentiments in financial markets this article discusses fear sentiments in financial markets this article discusses fear sentiments in financial markets this article discusses fear sentiments in financial markets this article discusses fear sentiments in financial markets,Indian markets crash amid global recession fears and rising inflation. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets.,6,0.34,1.0,0.0,0.16975500000000002,0.0,fear,fear,12.453674999999999,Extreme Fear
SYN_60D272FE47A9,2018-01-02,Markets rally sharply as corporate earnings beat estimates — experts weigh in,This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. ,Synthetic_Framework,,,finance,,SYNTHETIC,True,greed,Markets rally sharply as corporate earnings beat estimates — experts weigh in. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets.,52,markets rally sharply as corporate earnings beat estimates experts weigh in this article discusses greed sentiments in financial markets this article discusses greed sentiments in financial markets this article discusses greed sentiments in financial markets this article discusses greed sentiments in financial markets this article discusses greed sentiments in financial markets,Markets rally sharply as corporate earnings beat estimates experts weigh in. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets.,6,0.3333333333333333,0.06825,1.0,0.045500000000000006,0.0,greed,greed,62.9525,Greed
SYN_D56F0691935E,2018-01-03,NIFTY may face headwinds if inflation risks persist,This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. ,Synthetic_Framework,,,finance,,SYNTHETIC,True,uncertainty,NIFTY may face headwinds if inflation risks persist. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets.,48,nifty may face headwinds if inflation risks persist this article discusses uncertainty sentiments in financial markets this article discusses uncertainty sentiments in financial markets this article discusses uncertainty sentiments in financial markets this article discusses uncertainty sentiments in financial markets this article discusses uncertainty sentiments in financial markets,NIFTY may face headwinds if inflation risks persist. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets.,6,0.3333333333333333,0.0641625,0.048810000000000006,1.0,0.073215,uncertainty,uncertainty,22.743575000000003,Fear
SYN_7E93221D5EA9,2018-01-04,India economy shows resilient growth amid global headwinds,This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. ,Synthetic_Framework,,,finance,,SYNTHETIC,True,optimism,India economy shows resilient growth amid global headwinds. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets.,48,india economy shows resilient growth amid global headwinds this article discusses optimism sentiments in financial markets this article discusses optimism sentiments in financial markets this article discusses optimism sentiments in financial markets this article discusses optimism sentiments in financial markets this article discusses optimism sentiments in financial markets,India economy shows resilient growth amid global headwinds. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets.,6,0.3333333333333333,0.0,0.10548500000000001,1.0,1.0,uncertainty,uncertainty,58.164550000000006,Neutral
SYN_78A8A688CDD4,2018-01-05,Recession fears grip Dalal Street; SENSEX falls 1500 points — experts weigh in,This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. ,Synthetic_Framework,,,finance,,SYNTHETIC,True,fear,Recession fears grip Dalal Street; SENSEX falls 1500 points — experts weigh in. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets.,53,recession fears grip dalal street sensex falls points experts weigh in this article discusses fear sentiments in financial markets this article discusses fear sentiments in financial markets this article discusses fear sentiments in financial markets this article discusses fear sentiments in financial markets this article discusses fear sentiments in financial markets,Recession fears grip Dalal Street; SENSEX falls 1500 points experts weigh in. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets.,6,0.35294117647058826,1.0,0.0,0.15045,0.0,fear,fear,12.74325,Extreme Fear
SYN_1C396F2E3C5B,2018-01-06,Strong quarterly results fuel blockbuster market rally,This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. ,Synthetic_Framework,,,finance,,SYNTHETIC,True,greed,Strong quarterly results fuel blockbuster market rally. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets.,47,strong quarterly results fuel blockbuster market rally this article discusses greed sentiments in financial markets this article discusses greed sentiments in financial markets this article discusses greed sentiments in financial markets this article discusses greed sentiments in financial markets this article discusses greed sentiments in financial markets,Strong quarterly results fuel blockbuster market rally. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets.,6,0.3191489361702128,0.048644999999999994,1.0,0.03243,1.0,greed,greed,98.54065,Extreme Greed
SYN_19C3DFCF0F35,2018-01-07,Budget outcome unclear; markets await fiscal roadmap,This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. ,Synthetic_Framework,,,finance,,SYNTHETIC,True,uncertainty,Budget outcome unclear; markets await fiscal roadmap. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets.,47,budget outcome unclear markets await fiscal roadmap this article discusses uncertainty sentiments in financial markets this article discusses uncertainty sentiments in financial markets this article discusses uncertainty sentiments in financial markets this article discusses uncertainty sentiments in financial markets this article discusses uncertainty sentiments in financial markets,Budget outcome unclear; markets await fiscal roadmap. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets.,6,0.2978723404255319,0.1012725,0.0,0.272965,0.0,uncertainty,uncertainty,28.880075000000005,Fear
SYN_33BCD9240385,2018-01-08,Positive outlook: India poised for sustained growth cycle — experts weigh in,This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. ,Synthetic_Framework,,,finance,,SYNTHETIC,True,optimism,Positive outlook: India poised for sustained growth cycle — experts weigh in. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets.,52,positive outlook india poised for sustained growth cycle experts weigh in this article discusses optimism sentiments in financial markets this article discusses optimism sentiments in financial markets this article discusses optimism sentiments in financial markets this article discusses optimism sentiments in financial markets this article discusses optimism sentiments in financial markets,Positive outlook: India poised for sustained growth cycle experts weigh in. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets.,6,0.35294117647058826,0.0,0.16914500000000002,0.24509803921568626,1.0,optimism,optimism,71.3978794117647,Greed
SYN_BC7CE722B81C,2018-01-09,Bearish sentiment dominates as downturn fears escalate,This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. ,Synthetic_Framework,,,finance,,SYNTHETIC,True,fear,Bearish sentiment dominates as downturn fears escalate. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets.,47,bearish sentiment dominates as downturn fears escalate this article discusses fear sentiments in financial markets this article discusses fear sentiments in financial markets this article discusses fear sentiments in financial markets this article discusses fear sentiments in financial markets this article discusses fear sentiments in financial markets,Bearish sentiment dominates as downturn fears escalate. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets.,6,0.3191489361702128,1.0,0.0,0.105065,0.0,fear,fear,13.424025,Extreme Fear
SYN_80B9B75DF7AB,2018-01-10,Stellar performance: India markets outperform global peers,This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. ,Synthetic_Framework,,,finance,,SYNTHETIC,True,greed,Stellar performance: India markets outperform global peers. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets.,47,stellar performance india markets outperform global peers this article discusses greed sentiments in financial markets this article discusses greed sentiments in financial markets this article discusses greed sentiments in financial markets this article discusses greed sentiments in financial markets this article discusses greed sentiments in financial markets,Stellar performance: India markets outperform global peers. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets. This article discusses greed sentiments in financial markets.,6,0.2978723404255319,0.06825,1.0,0.045500000000000006,0.0,greed,greed,62.9525,Greed
SYN_04A2B70780B5,2018-01-11,Markets volatile as RBI policy outcome remains uncertain — experts weigh in,This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. ,Synthetic_Framework,,,finance,,SYNTHETIC,True,uncertainty,Markets volatile as RBI policy outcome remains uncertain — experts weigh in. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets.,52,markets volatile as rbi policy outcome remains uncertain experts weigh in this article discusses uncertainty sentiments in financial markets this article discusses uncertainty sentiments in financial markets this article discusses uncertainty sentiments in financial markets this article discusses uncertainty sentiments in financial markets this article discusses uncertainty sentiments in financial markets,Markets volatile as RBI policy outcome remains uncertain experts weigh in. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets. This article discusses uncertainty sentiments in financial markets.,6,0.3333333333333333,0.134415,0.0,1.0,0.0,uncertainty,uncertainty,17.3117,Extreme Fear
SYN_33C3F3029005,2018-01-12,Manufacturing PMI hits 18-month high on robust demand,This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. ,Synthetic_Framework,,,finance,,SYNTHETIC,True,optimism,Manufacturing PMI hits 18-month high on robust demand. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets.,48,manufacturing pmi hits month high on robust demand this article discusses optimism sentiments in financial markets this article discusses optimism sentiments in financial markets this article discusses optimism sentiments in financial markets this article discusses optimism sentiments in financial markets this article discusses optimism sentiments in financial markets,Manufacturing PMI hits 18-month high on robust demand. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets. This article discusses optimism sentiments in financial markets.,6,0.3333333333333333,0.0,0.08198,0.0,1.0,optimism,optimism,72.4594,Greed
SYN_0BCAF0D55E88,2018-01-13,Banking sector faces systemic risk as NPA levels surge,This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. ,Synthetic_Framework,,,finance,,SYNTHETIC,True,fear,Banking sector faces systemic risk as NPA levels surge. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets.,49,banking sector faces systemic risk as npa levels surge this article discusses fear sentiments in financial markets this article discusses fear sentiments in financial markets this article discusses fear sentiments in financial markets this article discusses fear sentiments in financial markets this article discusses fear sentiments in financial markets,Banking sector faces systemic risk as NPA levels surge. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets. This article discusses fear sentiments in financial markets.,6,0.3469387755102041,1.0,1.0,1.0,0.0,fear,fear,30.0,Fear
